,index,Title,Available Globally?,Release Date,Hours Viewed
277,4136,World of Winx: Season 1,Yes,2016-11-04,"4,000,000"
278,9450,Danger Mouse: Season 2,No,2016-11-09,"600,000"
279,12227,Tales by Light: Season 1,Yes,2016-11-10,"300,000"
280,4198,All Hail King Julien: Season 4,Yes,2016-11-11,"3,800,000"
281,2626,Roman Empire: Commodus: Reign of Blood,Yes,2016-11-11,"7,500,000"
282,4017,True Memoirs of an International Assassin,Yes,2016-11-11,"4,200,000"
283,797,Locked Up: Season 2 // Vis a vis: Temporada 2,No,2016-11-14,"26,000,000"
284,8308,Lovesick: Season 2,Yes,2016-11-16,"900,000"
285,309,Shooter: Season 1,No,2016-11-16,"48,600,000"
286,9201,Skiptrace,No,2016-11-16,"700,000"
287,2826,Paranoid: Season 1,Yes,2016-11-17,"6,800,000"
288,8936,Beat Bugs: Season 2,Yes,2016-11-18,"700,000"
289,15018,Colin Quinn: The New York Story,Yes,2016-11-18,"100,000"
290,10018,Divines,Yes,2016-11-18,"500,000"
291,7644,Hell or High Water,No,2016-11-18,"1,100,000"
292,12752,Carlos Ballarta: El amor es de putos,No,2016-11-21,"200,000"
293,4787,White Nights: Season 1 // 불야성: 시즌 1,Yes,2016-11-21,"3,100,000"
294,7980,Mercy,Yes,2016-11-22,"1,000,000"
295,2811,3%: Season 1,Yes,2016-11-24,"6,800,000"
296,1249,Gilmore Girls: A Year in the Life: Limited Series,Yes,2016-11-25,"17,100,000"
297,16382,Michael Che Matters,Yes,2016-11-25,"100,000"
298,5454,Merlí: Season 1,No,2016-11-30,"2,400,000"
299,469,Fauda: Season 1 // פאודה: עונה 1,Yes,2016-12-02,"37,300,000"
300,10831,Hip-Hop Evolution: Season 1,Yes,2016-12-02,"400,000"
301,5606,The Cuba Libre Story: Limited Series,No,2016-12-08,"2,300,000"
302,4083,Captive: Season 1,Yes,2016-12-09,"4,000,000"
303,5294,Club de Cuervos: Season 2,Yes,2016-12-09,"2,500,000"
304,1248,Fuller House: Season 2,Yes,2016-12-09,"17,100,000"
305,8309,Luna Petunia: Season 1,Yes,2016-12-09,"900,000"
306,5452,Medici: Masters of Florence,No,2016-12-09,"2,400,000"
307,2685,Spectral,Yes,2016-12-09,"7,300,000"
308,10519,White Rabbit Project: Season 1,Yes,2016-12-09,"500,000"
309,4087,Dirk Gently's Holistic Detective Agency: Season 1,No,2016-12-11,"4,000,000"
310,7092,Bad Moms,No,2016-12-12,"1,300,000"
311,9295,TIGER & BUNNY,Yes,2016-12-13,"700,000"
312,7741,Sand Storm // عاصفة رملية,No,2016-12-15,"1,100,000"
313,9378,Barry,Yes,2016-12-16,"600,000"
314,9995,Crazyhead: Season 1,Yes,2016-12-16,"500,000"
315,3856,The Adventures of Puss in Boots: Season 4,No,2016-12-16,"4,500,000"
316,1399,The OA: Part I,Yes,2016-12-16,"15,300,000"
317,1606,Van Helsing: Season 1,Yes,2016-12-17,"13,100,000"
318,5764,Call My Agent!: Season 1 // Dix pour cent: Saison 1,No,2016-12-20,"2,100,000"
319,5780,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,Yes,2016-12-20,"2,100,000"
320,2573,Sense8: Season 2,Yes,2016-12-23,"7,700,000"
321,1130,Travelers: Season 1,Yes,2016-12-23,"19,000,000"
322,683,Trollhunters: Tales of Arcadia: Part 1,Yes,2016-12-23,"28,500,000"
323,15903,Jen Kirkman: Just Keep Livin’?,Yes,2017-01-03,"100,000"
324,736,Shadowhunters: The Mortal Instruments: Season 2,No,2017-01-03,"27,400,000"
325,7596,Coin Heist,Yes,2017-01-06,"1,100,000"
326,8589,Degrassi: Next Class: Season 3,Yes,2017-01-06,"800,000"
327,3272,Edgar Rice Burroughs' Tarzan and Jane: Season 1,Yes,2017-01-06,"5,600,000"
328,2404,One Day at a Time: Season 1,Yes,2017-01-06,"8,300,000"
329,4601,Little Witch Academia: Season 1 // リトルウィッチアカデミア: シーズン1,No,2017-01-08,"3,300,000"
330,9750,Terrace House: Aloha State: Part 2 // テラスハウス Aloha State: Part 2,Yes,2017-01-09,"600,000"
331,10140,Jim Gaffigan: Cinco,Yes,2017-01-10,"500,000"
332,7816,We're Lalaloopsy: Season 1,Yes,2017-01-10,"1,100,000"
333,1258,A Series of Unfortunate Events: Season 1,Yes,2017-01-13,"16,900,000"
334,6507,Clinical,Yes,2017-01-13,"1,600,000"
335,13571,Neal Brennan: 3 Mics,Yes,2017-01-17,"200,000"
336,2031,Frontier: Season 1,Yes,2017-01-20,"10,100,000"
337,6804,Take the 10,Yes,2017-01-20,"1,500,000"
338,5504,Voltron: Legendary Defender: Season 2,No,2017-01-20,"2,400,000"
339,11687,Gad Gone Wild // Gad Elmaleh Part en Live,Yes,2017-01-23,"300,000"
340,15066,Cristela Alonzo: Lower Classy,Yes,2017-01-24,"100,000"
341,13630,One More Time: Season 1 // 헤어진 다음날: 시즌 1,No,2017-01-26,"200,000"
342,4994,Home: Adventures with Tip & Oh: Season 2,No,2017-01-27,"2,800,000"
343,10890,Kazoops!: Season 2,Yes,2017-01-27,"400,000"
344,681,Riverdale: Season 1,No,2017-01-27,"28,600,000"
345,5665,iBOY,Yes,2017-01-27,"2,200,000"
346,7583,Bill Burr: Walk Your Way Out,Yes,2017-01-31,"1,100,000"
347,6323,The Sound of Your Heart: Season 1 // 마음의 소리: 시즌 1,Yes,2017-01-31,"1,800,000"
348,15100,Daniel Sosa: Sosafado,No,2017-02-03,"100,000"
349,10849,Imperial Dreams,Yes,2017-02-03,"400,000"
350,2139,Santa Clarita Diet: Season 1,Yes,2017-02-03,"9,500,000"
351,10699,Cyborg 009: Call of Justice: Season 1,Yes,2017-02-09,"400,000"
352,6313,The Missing: Season 2,No,2017-02-09,"1,800,000"
353,9357,Abstract: The Art of Design: Season 1,Yes,2017-02-10,"600,000"
354,12849,David Brent: Life on the Road,No,2017-02-10,"200,000"
355,6747,Middle School: The Worst Years of My Life,No,2017-02-10,"1,500,000"
356,4969,You Me Her: Season 1,No,2017-02-10,"2,900,000"
357,13061,Girlfriend's Day,Yes,2017-02-14,"200,000"
358,13285,Katherine Ryan: In Trouble,Yes,2017-02-14,"200,000"
359,9686,Project Mc²: Part 4,Yes,2017-02-14,"600,000"
360,8963,Chef's Table: Volume 3,Yes,2017-02-17,"700,000"
361,1610,Dragons: Race to the Edge: Season 4,Yes,2017-02-17,"13,000,000"
362,10480,Trevor Noah: Afraid of the Dark,Yes,2017-02-21,"500,000"
363,6391,I Don't Feel at Home in This World Anymore,Yes,2017-02-24,"1,700,000"
364,6942,Legend Quest: Season 1,Yes,2017-02-24,"1,400,000"
365,8863,Ultimate Beastmaster Brasil: No Mercy,No,2017-02-24,"800,000"
366,14268,Ultimate Beastmaster Germany: No Mercy,No,2017-02-24,"200,000"
367,9314,Ultimate Beastmaster Mexico: No Mercy // Ultimate Beastmaster México,No,2017-02-24,"700,000"
